Ano;Município;Ideb iniciais;Ideb finais
2019;ABAETETUBA;4,7;3,6
2019;ABEL FIGUEIREDO;5,1;3,9
2019;ACARA;3,8;3,3
2019;AFUA;3,5;3,1
2019;AGUA AZUL DO NORTE;4;3,9
2019;ALENQUER;4,3;3,7
2019;ALMEIRIM;3,6;3,2
2019;ALTAMIRA;5,7;4,8
2019;ANAJAS;3,4;3,3
2019;ANANINDEUA;5,3;4,3
2019;ANAPU;4,2;3,8
2019;AUGUSTO CORREA;4,2;0
2019;AURORA DO PARA;4,8;4,3
2019;AVEIRO;4,4;3,7
2019;BAGRE;3,7;4
2019;BAIAO;0;0
2019;BANNACH;4,5;3,8
2019;BARCARENA;4,4;3,6
2019;BELEM;5,2;4,1
2019;BELTERRA;5,1;4,8
2019;BENEVIDES;6,2;4,7
2019;BOM JESUS DO TOCANTINS;5;3,9
2019;BONITO;4,3;2,5
2019;BRAGANCA;4,4;3,6
2019;BRASIL NOVO;5,6;4,9
2019;BREJO GRANDE DO ARAGUAIA;3,9;0
2019;BREU BRANCO;4,4;3,5
2019;BREVES;3,6;3,7
2019;BUJARU;4,2;3,8
2019;CACHOEIRA DO ARARI;3,9;3,4
2019;CACHOEIRA DO PIRIA;3,9;2,9
2019;CAMETA;3,7;3,3
2019;CANAA DOS CARAJAS;5,1;4,2
2019;CAPANEMA;4,8;3,5
2019;CAPITAO POCO;4,2;3,4
2019;CASTANHAL;4,8;3,7
2019;CHAVES;3,1;3,5
2019;COLARES;4,8;3,6
2019;CONCEICAO DO ARAGUAIA;4,6;3,8
2019;CONCORDIA DO PARA;3,7;3,3
2019;CUMARU DO NORTE;0;0
2019;CURIONOPOLIS;5,4;4,4
2019;CURRALINHO;0;2,6
2019;CURUA;4,1;3,9
2019;CURUCA;4,2;3,7
2019;DOM ELISEU;5,6;4,5
2019;ELDORADO DOS CARAJAS;4,6;3,8
2019;FARO;4,3;3,5
2019;FLORESTA DO ARAGUAIA;4,5;3,7
2019;GARRAFAO DO NORTE;4,4;4,1
2019;GOIANESIA DO PARA;4,5;3,4
2019;GURUPA;3,5;3
2019;IGARAPE ACU;4;3,2
2019;IGARAPE MIRI;4;3,7
2019;INHANGAPI;4,3;3,4
2019;IPIXUNA DO PARA;4,5;4,3
2019;IRITUIA;4,3;3,1
2019;ITAITUBA;4,6;4,2
2019;ITUPIRANGA;4,2;3,6
2019;JACAREACANGA;3,5;3,3
2019;JACUNDA;4,5;3,3
2019;JURUTI;5;4,5
2019;LIMOEIRO DO AJURU;3,8;3,9
2019;MAE DO RIO;4,7;3,8
2019;MAGALHAES BARATA;4,1;3,8
2019;MARABA;5,1;4,3
2019;MARACANA;4,5;3,8
2019;MARAPANIM;4,2;3,7
2019;MARITUBA;4,9;3,9
2019;MEDICILANDIA;4,3;3,6
2019;MELGACO;3,3;3,5
2019;MOCAJUBA;4,1;3,9
2019;MOJU;4,5;3,3
2019;MOJUI DOS CAMPOS;5;4,2
2019;MONTE ALEGRE;4,5;4
2019;MUANA;4,2;3,9
2019;NOVA ESPERANCA DO PIRIA;3,9;3,4
2019;NOVA IPIXUNA;3,9;3,7
2019;NOVA TIMBOTEUA;5;3,8
2019;NOVO PROGRESSO;5,6;4,5
2019;NOVO REPARTIMENTO;4,4;3,4
2019;OBIDOS;4,7;3,8
2019;OEIRAS DO PARA;3,4;3,3
2019;ORIXIMINA;5,1;4,7
2019;OUREM;4,6;3,7
2019;OURILANDIA DO NORTE;4,8;3,9
2019;PACAJA;4,2;3,4
2019;PALESTINA DO PARA;4,6;4,2
2019;PARAGOMINAS;5,8;4,4
2019;PARAUAPEBAS;5,6;4,5
2019;PAU DARCO;4;0
2019;PEIXE BOI;4,3;3,6
2019;PICARRA;4,3;3,5
2019;PLACAS;4,8;3,7
2019;PONTA DE PEDRAS;4,4;3,9
2019;PORTEL;3,6;3,3
2019;PORTO DE MOZ;3,8;3,2
2019;PRAINHA;3,8;3,7
2019;PRIMAVERA;4,9;3,2
2019;QUATIPURU;4,8;3,4
2019;REDENCAO;5;4
2019;RIO MARIA;4,8;4,3
2019;RONDON DO PARA;5,1;4,2
2019;RUROPOLIS;4,8;4,4
2019;SALINOPOLIS;4,8;3,7
2019;SALVATERRA;4,6;4
2019;SANTA BARBARA DO PARA;5,1;3,9
2019;SANTA CRUZ DO ARARI;3,4;3,2
2019;SANTA ISABEL DO PARA;4,3;3,8
2019;SANTA LUZIA DO PARA;4,1;3,7
2019;SANTA MARIA DAS BARREIRAS;3,5;3,2
2019;SANTA MARIA DO PARA;4,3;3,2
2019;SANTANA DO ARAGUAIA;4;2,3
2019;SANTAREM;5,5;4,6
2019;SANTAREM NOVO;5,3;4,9
2019;SANTO ANTONIO DO TAUA;4,5;3,7
2019;SAO CAETANO DE ODIVELAS;3,8;3,2
2019;SAO DOMINGOS DO ARAGUAIA;4;3,3
2019;SAO DOMINGOS DO CAPIM;3,7;3,4
2019;SAO FELIX DO XINGU;4;2,9
2019;SAO FRANCISCO DO PARA;4;3,4
2019;SAO GERALDO DO ARAGUAIA;4,8;4,2
2019;SAO JOAO DA PONTA;4,5;0
2019;SAO JOAO DE PIRABAS;4,3;3,8
2019;SAO JOAO DO ARAGUAIA;3,9;3,6
2019;SAO MIGUEL DO GUAMA;4,4;3,8
2019;SAO SEBASTIAO DA BOA VISTA;4,5;4,2
2019;SAPUCAIA;4,5;0
2019;SENADOR JOSE PORFIRIO;4,1;4,4
2019;SOURE;4,2;3,4
2019;TAILANDIA;4,6;3,5
2019;TERRA ALTA;4,4;3,5
2019;TERRA SANTA;5,7;4,6
2019;TOME ACU;4,7;3,9
2019;TRACUATEUA;3,7;3,5
2019;TRAIRAO;4,6;4,1
2019;TUCUMA;4,4;3,8
2019;TUCURUI;4,7;4
2019;ULIANOPOLIS;6,1;4,9
2019;URUARA;4,5;3,9
2019;VIGIA;4,3;3,9
2019;VISEU;3,6;3,6
2019;VITORIA DO XINGU;5,7;5,2
2019;XINGUARA;4,8;4,1
